name,domain,type,priority_rank
State University of New York College at Brockport,brockport.edu,4-year,
State University of New York College at Buffalo,buffalostate.edu,4-year,
State University of New York College at Cortland,cortland.edu,4-year,
State University of New York College at Geneseo,geneseo.edu,4-year,
State University of New York College at New Paltz,newpaltz.edu,4-year,
State University of New York College at Oneonta,oneonta.edu,4-year,
State University of New York College at Potsdam,potsdam.edu,4-year,
State University of New York College of Agriculture and Technology at Cobleskill,cobleskill.edu,4-year,
State University of New York College of Environmental Science and Forestry,esf.edu,4-year,
State University of New York Polytechnic Institute,sunyit.edu,4-year,
State University of New York System,sunycentral.edu,4-year,
State University of New York at Albany,albany.edu,4-year,
State University of New York at Farmingdale,farmingdale.edu,4-year,
State University of New York at Fredonia,fredonia.edu,4-year,
State University of New York at Oneonta,suny.oneonta.edu,4-year,
Stone Child College,stonechild.edu,4-year,
Stratford University,stratford.edu,4-year,
Strayer College,strayer.edu,4-year,
Sullivan University,sullivan.edu,4-year,
Summit University of Louisiana,summitunivofla.edu,4-year,
Taft College,taftcollege.edu,4-year,
Technical Career Institutes,tcicollege.edu,4-year,
Temple College,templejc.edu,4-year,
Texarkana College,texarkanacollege.edu,4-year,
Texas A&M University - Commerce,tamuc.edu,4-year,
Texas Tech University-Health Sciences Center,ttuhsc.edu,4-year,
The Art Institutes,aii.edu,4-year,
The Citadel,citadel.edu,4-year,
The Principia,principia.edu,4-year,
The Scripps Research Institute,scripps.edu,4-year,
The University of Texas at Rio Grande Valley,utrgv.edu,4-year,
Thomas Edison State University,tesc.edu,4-year,
Thomas More College,thomasmore.edu,4-year,
Thunderbird School of Global Management,thunderbird.edu,4-year,
Touro College,touro.edu,4-year,
Trenton State College,trenton.edu,4-year,
Trident University,trident.edu,4-year,
Trinity College (DC),trinitydc.edu,4-year,
Triton College,triton.edu,4-year,
Troy State University,tsufl.edu,4-year,
Tucson University,tucsonu.edu,4-year,
Tusculum College,tusculum.edu,4-year,
UC Hastings College of the Law,uchastings.edu,4-year,
Uniformed Services University of the Health Sciences,usuhs.mil,4-year,
Union Institute,tui.edu,4-year,
United States International University,usiu.edu,4-year,
Unity Environmental College,unity.edu,4-year,
University of Advancing Technology,uat.edu,4-year,
University of Akron,uakron.edu,4-year,
University of Alabama at Huntsville,uah.edu,4-year,
University of Alaska,alaska.edu,4-year,
University of Alaska - Anchorage,uaa.alaska.edu,4-year,
University of Alaska - Fairbanks,uaf.edu,4-year,
University of Alaska - Southeast,uas.alaska.edu,4-year,
University of Arkansas - Fayetteville,uark.edu,4-year,
University of Arkansas - Fort Smith,uafs.edu,4-year,
University of Arkansas - Monticello,uamont.edu,4-year,
University of Arkansas System eVersity,uasys.edu,4-year,
University of Arkansas for Medical Sciences,uams.edu,4-year,
"University of California, Office of the President",ucop.edu,4-year,
"University of California, San Francisco",ucsf.edu,4-year,
University of Colorado Anschutz Medical Campus,cuanschutz.edu,4-year,
University of Colorado Health Sciences Center,hsc.colorado.edu,4-year,
University of Colorado at Colorado Springs,uccs.edu,4-year,
University of Colorado at Denver,ucdenver.edu,4-year,
University of Great Falls,ugf.edu,4-year,
University of Hawaii System,hawaii.edu,4-year,
University of Kansas School of Medicine,kumc.edu,4-year,
University of Louisiana at Lafeyette,louisiana.edu,4-year,
University of Maine System,maine.edu,4-year,
University of Maine at Machias,umm.maine.edu,4-year,
University of Maine at Presque Island,umpi.maine.edu,4-year,
University of Massachusetts at Dartmouth,umassd.edu,4-year,
University of Massachusetts at Lowell,uml.edu,4-year,
University of Mississippi Medical Center,umc.edu,4-year,
University of Missouri - Rolla,umr.edu,4-year,
University of Missouri - Saint Louis,umsl.edu,4-year,
University of North Carolina at Asheville,unca.edu,4-year,
University of North Carolina at Wilmington,uncw.edu,4-year,
University of North Texas Health Science Center,hsc.unt.edu,4-year,
University of Phoenix,phoenix.edu,4-year,
University of Pikeville,upike.edu,4-year,
University of Pittsburgh Medical Center,upmc.edu,4-year,
University of Pittsburgh at Bradford,upb.pitt.edu,4-year,
University of Pittsburgh at Johnstown,upj.pitt.edu,4-year,
University of Pittsburgh-Titusville,upt.pitt.edu,4-year,
University of Saint Thomas (MN),stthomas.edu,4-year,
University of Saint Thomas (TX),stthom.edu,4-year,
University of Southern Indiana,usi.edu,4-year,
University of Southwestern Louisiana,usl.edu,4-year,
University of St. Augustine for Health Sciences,usa.edu,4-year,
University of Tennessee at Chattanooga,utc.edu,4-year,
University of Texas - Pan American,panam.edu,4-year,
University of Texas Medical Branch,utmb.edu,4-year,
University of Texas Southwestern Medical Center,swmed.edu,4-year,
University of Texas at Brownsville,utb.edu,4-year,
University of Wisconsin - LaCrosse,uwlax.edu,4-year,
University of Wisconsin Colleges,uwc.edu,4-year,
University of Wisconsin System,uwsa.edu,4-year,
University of the District of Columbia,udc.edu,4-year,
University of the People,uopeople.edu,4-year,
Urban College of Boston,urbancollege.edu,4-year,
Utah Tech University,utahtech.edu,4-year,
Utah Valley State College,uvsc.edu,4-year,
Utah Valley University,uvu.edu,4-year,
Utica College,utica.edu,4-year,
Valencia College,valenciacollege.edu,4-year,
Valley Forge Military Academy and College,vfmac.edu,4-year,
Ventura College,venturacollege.edu,4-year,
Verde Valley School,vvsaz.org,4-year,
Vermont Law School,vermontlaw.edu,4-year,
Vernon College,vernoncollege.edu,4-year,
Victor Valley College,vvc.edu,4-year,
Victoria College,victoriacollege.edu,4-year,
Villa Julie College,vjc.edu,4-year,
Virginia Intermont College,vic.edu,4-year,
Virginia University of Lynchburg,vul.edu,4-year,
Voorhees University,voorhees.edu,4-year,
Wake Forest Baptist Health,wakehealth.edu,4-year,
Walden University,waldenu.edu,4-year,
Walla Walla University,wallawalla.edu,4-year,
Walsh College,walshcollege.edu,4-year,
Washburn University,wuacc.edu,4-year,
Washington State University at Vancouver,vancouver.wsu.edu,4-year,
"Washington University, Saint Louis",wustl.edu,4-year,
Waynesburg College,waynesburg.edu,4-year,
Weatherford College,wc.edu,4-year,
Weber State University,weber.edu,4-year,
Wells College,wells.edu,4-year,
Wenatchee Valley College,wvc.edu,4-year,
Wesley College,wesley.edu,4-year,
West Coast University,westcoastuniversity.edu,4-year,
West Hills College-Coalinga,westhillscollege.com,4-year,
West Liberty State College,wlsc.wvnet.edu,4-year,
West Los Angeles College,wlac.edu,4-year,
West Valley College,westvalley.edu,4-year,
West Virginia University at Parkersburg,westliberty.edu,4-year,
Western Governors University,wgu.edu,4-year,
Western Montana College,wmc.edu,4-year,
Western Nevada College,wnc.edu,4-year,
Western New England College,wnec.edu,4-year,
Western New Mexico University,wnmu.edu,4-year,
Western Oklahoma State College,wosc.edu,4-year,
Western State Colorado University,western.edu,4-year,
Western Texas College,wtc.edu,4-year,
Western University of Health Sciences,westernu.edu,4-year,
Westfield State College,westfield.mass.edu,4-year,
Westminster College of Fulton,westminster-mo.edu,4-year,
Westminster College of New Wilmington,westminster.edu,4-year,
Westminster College of Salt Lake City,wcslc.edu,4-year,
"Wheaton College, Norton MA",wheatonma.edu,4-year,
Wheeling Jesuit College,wjc.edu,4-year,
Whitworth College,whitworth.edu,4-year,
Wiley College,wileyc.edu,4-year,
William Howard Taft University,taftu.edu,4-year,
William Mitchell College of Law,wmitchell.edu,4-year,
William Penn College,wmpenn.edu,4-year,
Williston State College,willistonstate.edu,4-year,
Woods Hole Oceanographic Institution,whoi.edu,4-year,
Wright State University,wright.edu,4-year,
YTI Career Institute,yti.edu,4-year,
Yavapai College,yc.edu,4-year,
Yuba College,yc.yccd.edu,4-year,
Zane State College,zanestate.edu,4-year,
Academy of Art University,academyart.edu,2yr / vocational / religious,
Adirondack Community College,www.sunyacc.edu,2yr / vocational / religious,
Aiken Technical College,atc.edu,2yr / vocational / religious,
Aims Community College,aims.edu,2yr / vocational / religious,
Alabama Southern Community College,ascc.edu,2yr / vocational / religious,
Alamance Community College,alamancecc.edu,2yr / vocational / religious,
Albany Technical College,albanytech.edu,2yr / vocational / religious,
Alexandria Technical & Community College,alextech.edu,2yr / vocational / religious,
Allen County Community College,allencc.edu,2yr / vocational / religious,
Alpena Community College,alpenacc.edu,2yr / vocational / religious,
Alvin Community College,alvincollege.edu,2yr / vocational / religious,
American Academy of Dramatic Arts-New York,aada.edu,2yr / vocational / religious,
Anne Arundel Community College,aacc.edu,2yr / vocational / religious,
Anoka Technical College,anokatech.edu,2yr / vocational / religious,
Anoka-Ramsey Community College,anokaramsey.edu,2yr / vocational / religious,
Arapahoe Community College,arapahoe.edu,2yr / vocational / religious,
Asheville-Buncombe Technical Community College,abtech.edu,2yr / vocational / religious,
Ashland Community and Technical College,ashland.kctcs.edu,2yr / vocational / religious,
Asnuntuck Community College,asnuntuck.edu,2yr / vocational / religious,
Athens Technical College,athenstech.edu,2yr / vocational / religious,
Atlanta Technical College,atlantatech.edu,2yr / vocational / religious,
Atlantic Cape Community College,atlantic.edu,2yr / vocational / religious,
Augusta Technical College,augustatech.edu,2yr / vocational / religious,
Austin Community College,austincc.edu,2yr / vocational / religious,
Baltimore City Community College,bccc.edu,2yr / vocational / religious,
Barber-Scotia College,b-sc.edu,2yr / vocational / religious,
Barstow Community College,barstow.edu,2yr / vocational / religious,
Barton County Community College,bartonccc.edu,2yr / vocational / religious,
Bates Technical College,bates.ctc.edu,2yr / vocational / religious,
Baton Rouge Community College,mybrcc.edu,2yr / vocational / religious,
Bay Mills Community College,bmcc.edu,2yr / vocational / religious,
Bay de Noc Community College,baycollege.edu,2yr / vocational / religious,
Beaufort County Community College,beaufortccc.edu,2yr / vocational / religious,
Bellingham Technical College,btc.ctc.edu,2yr / vocational / religious,
Bergen Community College,bergen.edu,2yr / vocational / religious,
Berkshire Community College,berkshirecc.edu,2yr / vocational / religious,
Bevill State Community College,bscc.edu,2yr / vocational / religious,
Big Bend Community College,bigbend.edu,2yr / vocational / religious,
Big Sandy Community and Technical College,bigsandy.kctcs.edu,2yr / vocational / religious,
Bishop State Community College,bishop.edu,2yr / vocational / religious,
Black River Technical College,blackrivertech.edu,2yr / vocational / religious,
Blackfeet Community College,bfcc.edu,2yr / vocational / religious,
Blackhawk Technical College,blackhawk.edu,2yr / vocational / religious,
Bladen Community College,bladencc.edu,2yr / vocational / religious,
Blue Mountain Community College,bluecc.edu,2yr / vocational / religious,
Blue Ridge Community College,blueridge.edu,2yr / vocational / religious,
Blue Ridge Community and Technical College,blueridgectc.edu,2yr / vocational / religious,
Bluegrass Community and Technical College,bluegrass.kctcs.edu,2yr / vocational / religious,
Bossier Parish Community College,bpcc.edu,2yr / vocational / religious,
Bridgemont Community and Technical College,bridgemont.edu,2yr / vocational / religious,
Bristol Community College,bristolcc.edu,2yr / vocational / religious,
Brookdale Community College,brookdalecc.edu,2yr / vocational / religious,
Brunswick Community College,brunswickcc.edu,2yr / vocational / religious,
Bucks County Community College,bucks.edu,2yr / vocational / religious,
Bunker Hill Community College,bhcc.mass.edu,2yr / vocational / religious,
Butler Community College,butlercc.edu,2yr / vocational / religious,
Butler County Community College,bc3.edu,2yr / vocational / religious,
CUNY Borough of Manhattan Community College,bmcc.cuny.edu,2yr / vocational / religious,
CUNY Bronx Community College,bcc.cuny.edu,2yr / vocational / religious,
CUNY Hostos Community College,hostos.cuny.edu,2yr / vocational / religious,
CUNY Kingsborough Community College,kbcc.cuny.edu,2yr / vocational / religious,
CUNY LaGuardia Community College,lagcc.cuny.edu,2yr / vocational / religious,
CUNY Queensborough Community College,qcc.cuny.edu,2yr / vocational / religious,
Caldwell Community College and Technical Institute,cccti.edu,2yr / vocational / religious,
Calhoun Community College,calhoun.edu,2yr / vocational / religious,
Camden County College,camdencc.edu,2yr / vocational / religious,
Cankdeska Cikana Community College,littlehoop.edu,2yr / vocational / religious,
Cape Cod Community College,capecod.edu,2yr / vocational / religious,
Cape Fear Community College,cfcc.edu,2yr / vocational / religious,
Capital Community College,ccc.commnet.edu,2yr / vocational / religious,
Carroll Community College,carrollcc.edu,2yr / vocational / religious,
Carteret Community College,carteret.edu,2yr / vocational / religious,
Cascadia Community College,cascadia.edu,2yr / vocational / religious,
Catawba Valley Community College,cvcc.edu,2yr / vocational / religious,
Cayuga County Community College,cayuga-cc.edu,2yr / vocational / religious,
Central Alabama Community College,cacc.edu,2yr / vocational / religious,
Central Carolina Community College,cccc.edu,2yr / vocational / religious,
Central Carolina Technical College,cctech.edu,2yr / vocational / religious,
Central Community College,cccneb.edu,2yr / vocational / religious,
Central Georgia Technical College,centralgatech.edu,2yr / vocational / religious,
Central Maine Community College,cmcc.edu,2yr / vocational / religious,
Central New Mexico Community College,cnm.edu,2yr / vocational / religious,
Central Ohio Technical College,cotc.edu,2yr / vocational / religious,
Central Oregon Community College,cocc.edu,2yr / vocational / religious,
Central Piedmont Community College,cpcc.edu,2yr / vocational / religious,
Central Virginia Community College,cvcc.vccs.edu,2yr / vocational / religious,
Cerro Coso Community College,cerrocoso.edu,2yr / vocational / religious,
Chabot-Las Positas Community College District,clpccd.edu,2yr / vocational / religious,
Chandler-Gilbert Community College,cgc.maricopa.edu,2yr / vocational / religious,
Chattahoochee Technical College,chattahoocheetech.edu,2yr / vocational / religious,
Chattahoochee Valley Community College,cv.edu,2yr / vocational / religious,
Chattanooga State Community College,chattanoogastate.edu,2yr / vocational / religious,
Chemeketa Community College,chemeketa.edu,2yr / vocational / religious,
Chippewa Valley Technical College,cvtc.edu,2yr / vocational / religious,
Christian Theological Seminary,cts.edu,2yr / vocational / religious,
Cincinnati State Technical and Community College,cincinnatistate.edu,2yr / vocational / religious,
Clackamas Community College,clackamas.edu,2yr / vocational / religious,
Claremont School of Theology,cst.edu,2yr / vocational / religious,
Clark State Community College,clarkstate.edu,2yr / vocational / religious,
Clatsop Community College,clatsopcc.edu,2yr / vocational / religious,
Cleveland Community College,clevelandcc.edu,2yr / vocational / religious,
Cleveland State Community College,clevelandstatecc.edu,2yr / vocational / religious,
Clinton Community College,clinton.edu,2yr / vocational / religious,
Cloud County Community College,cloud.edu,2yr / vocational / religious,
Clover Park Technical College,cptc.edu,2yr / vocational / religious,
Clovis Community College,clovis.edu,2yr / vocational / religious,
Coahoma Community College,coahomacc.edu,2yr / vocational / religious,
Coastal Alabama Community College,coastalalabama.edu,2yr / vocational / religious,
Coastal Carolina Community College,coastalcarolina.edu,2yr / vocational / religious,
Coastal Pines Technical College,coastalpines.edu,2yr / vocational / religious,
Coastline Community College,coastline.edu,2yr / vocational / religious,
Coconino Community College,coconino.edu,2yr / vocational / religious,
Coffeyville Community College,coffeyville.edu,2yr / vocational / religious,
Colby Community College,colbycc.edu,2yr / vocational / religious,
Collin County Community College District,collin.edu,2yr / vocational / religious,
Colorado Community College System,cccs.edu,2yr / vocational / religious,
Colorado Northwestern Community College,cncc.edu,2yr / vocational / religious,
Columbia Gorge Community College,cgcc.cc.or.us,2yr / vocational / religious,
Columbia State Community College,columbiastate.edu,2yr / vocational / religious,
Columbia-Greene Community College,sunycgcc.edu,2yr / vocational / religious,
Columbus State Community College,cscc.edu,2yr / vocational / religious,
Columbus Technical College,columbustech.edu,2yr / vocational / religious,
Community College System of New Hampshire,ccsnh.edu,2yr / vocational / religious,
Community College of Allegheny County,ccac.edu,2yr / vocational / religious,
Community College of Aurora,ccaurora.edu,2yr / vocational / religious,
Community College of Baltimore County,ccbcmd.edu,2yr / vocational / religious,
Community College of Beaver County,ccbc.edu,2yr / vocational / religious,
Community College of Denver,ccd.edu,2yr / vocational / religious,
Community College of Philadelphia,ccp.edu,2yr / vocational / religious,
Community College of Rhode Island,ccri.edu,2yr / vocational / religious,
Community College of Vermont,ccv.edu,2yr / vocational / religious,
Contra Costa Community College District,4cd.edu,2yr / vocational / religious,
Copiah-Lincoln Community College,colin.edu,2yr / vocational / religious,
Copper Mountain Community College,cmccd.edu,2yr / vocational / religious,
Corning Community College,corning-cc.edu,2yr / vocational / religious,
Cossatot Community College of the University of Arkansas,cccua.edu,2yr / vocational / religious,
County College of Morris,ccm.edu,2yr / vocational / religious,
Cowley County Community College,cowley.edu,2yr / vocational / religious,
Craven Community College,cravencc.edu,2yr / vocational / religious,
Cumberland County College,cccnj.edu,2yr / vocational / religious,
Cuyahoga Community College District,tri-c.edu,2yr / vocational / religious,
Dabney S Lancaster Community College,dslcc.edu,2yr / vocational / religious,
Dakota County Technical College,dctc.edu,2yr / vocational / religious,
Dallas County Community College,dcccd.edu,2yr / vocational / religious,
Danville Area Community College,dacc.edu,2yr / vocational / religious,
Danville Community College,dcc.vccs.edu,2yr / vocational / religious,
Davidson County Community College,davidsonccc.edu,2yr / vocational / religious,
Davidson-Davie Community College,davidsondavie.edu,2yr / vocational / religious,
Dawson Community College,dawson.edu,2yr / vocational / religious,
Delaware County Community College,dccc.edu,2yr / vocational / religious,
Delaware Technical Community College,dtcc.edu,2yr / vocational / religious,
Delgado Community College,dcc.edu,2yr / vocational / religious,
Denmark Technical College,denmarktech.edu,2yr / vocational / religious,
Des Moines Area Community College,dmacc.edu,2yr / vocational / religious,
Dodge City Community College,dc3.edu,2yr / vocational / religious,
Durham Technical Community College,durhamtech.edu,2yr / vocational / religious,
Dutchess Community College,sunydutchess.edu,2yr / vocational / religious,
Dyersburg State Community College,dscc.edu,2yr / vocational / religious,
East Arkansas Community College,www.eacc.edu,2yr / vocational / religious,
East Central Community College,eccc.edu,2yr / vocational / religious,
East Mississippi Community College,eastms.edu,2yr / vocational / religious,
Eastern Gateway Community College,egcc.edu,2yr / vocational / religious,
Eastern Idaho Technical College,eitc.edu,2yr / vocational / religious,
Eastern Iowa Community College District,eicc.edu,2yr / vocational / religious,
Eastern Maine Community College,emcc.edu,2yr / vocational / religious,
Eastern Shore Community College,es.vccs.edu,2yr / vocational / religious,
Eastern West Virginia Community and Technical College,eastern.wvnet.edu,2yr / vocational / religious,
Edgecombe Community College,edgecombe.edu,2yr / vocational / religious,
Edison State Community College,edisonohio.edu,2yr / vocational / religious,
Edmonds Community College,edcc.edu,2yr / vocational / religious,
El Camino Community College District,elcamino.edu,2yr / vocational / religious,
El Paso Community College,epcc.edu,2yr / vocational / religious,
Elgin Community College,elgin.edu,2yr / vocational / religious,
Elizabethtown Community and Technical College,elizabethtown.kctcs.edu,2yr / vocational / religious,
Enterprise State Community College,escc.edu,2yr / vocational / religious,
Erie Community College,ecc.edu,2yr / vocational / religious,
Essex County College,essex.edu,2yr / vocational / religious,
Estrella Mountain Community College,estrellamountain.edu,2yr / vocational / religious,
Everett Community College,everettcc.edu,2yr / vocational / religious,
Fayetteville Technical Community College,faytechcc.edu,2yr / vocational / religious,
Feather River Community College District,frc.edu,2yr / vocational / religious,
Finger Lakes Community College,flcc.edu,2yr / vocational / religious,
Flathead Valley Community College,fvcc.edu,2yr / vocational / religious,
Flint Hills Technical College,fhtc.edu,2yr / vocational / religious,
Florence-Darlington Technical College,www.fdtc.edu,2yr / vocational / religious,
Florida Keys Community College,fkcc.edu,2yr / vocational / religious,
Fond du Lac Tribal and Community College,fdltcc.edu,2yr / vocational / religious,
Foothill-De Anza Community College District,fhda.edu,2yr / vocational / religious,
Forsyth Technical Community College,forsythtech.edu,2yr / vocational / religious,
Fort Peck Community College,fpcc.edu,2yr / vocational / religious,
Fort Scott Community College,fortscott.edu,2yr / vocational / religious,
Fountainhead College of Technology,fountainheadcollege.edu,2yr / vocational / religious,
Fox Valley Technical College,fvtc.edu,2yr / vocational / religious,
Frederick Community College,frederick.edu,2yr / vocational / religious,
Front Range Community College,frontrange.edu,2yr / vocational / religious,
Fuller Theological Seminary,fuller.edu,2yr / vocational / religious,
Fulton-Montgomery Community College,fmcc.edu,2yr / vocational / religious,
Gadsden State Community College,gadsdenstate.edu,2yr / vocational / religious,
Garden City Community College,gcccks.edu,2yr / vocational / religious,
Gasden State Community College,gadsenstate.edu,2yr / vocational / religious,
GateWay Community College,gatewaycc.edu,2yr / vocational / religious,
Gateway Community and Technical College,gateway.kctcs.edu,2yr / vocational / religious,
Gateway Technical College,gtc.edu,2yr / vocational / religious,
Genesee Community College,genesee.edu,2yr / vocational / religious,
George C Wallace State Community College-Dothan,wallace.edu,2yr / vocational / religious,
George C Wallace State Community College-Hanceville,wallacestate.edu,2yr / vocational / religious,
George C Wallace State Community College-Selma,wccs.edu,2yr / vocational / religious,
Georgia Northwestern Technical College,gntc.edu,2yr / vocational / religious,
Georgia Piedmont Technical College,gptc.edu,2yr / vocational / religious,
Germanna Community College,germanna.edu,2yr / vocational / religious,
Glen Oaks Community College,glenoaks.edu,2yr / vocational / religious,
Glendale Community College,gccaz.edu,2yr / vocational / religious,
Gloucester County College,gccnj.edu,2yr / vocational / religious,
Gogebic Community College,gogebic.edu,2yr / vocational / religious,
Grand Rapids Community College,grcc.edu,2yr / vocational / religious,
Great Bay Community College,greatbay.edu,2yr / vocational / religious,
Green River Community College,greenriver.edu,2yr / vocational / religious,
Greenfield Community College,gcc.mass.edu,2yr / vocational / religious,
Greenville Technical College,gvltec.edu,2yr / vocational / religious,
Guilford Technical Community College,gtcc.edu,2yr / vocational / religious,
Gwinnett Technical College,gwinnetttech.edu,2yr / vocational / religious,
H Councill Trenholm State Technical College,trenholmstate.edu,2yr / vocational / religious,
Hagerstown Community College,hagerstowncc.edu,2yr / vocational / religious,
Halifax Community College,halifaxcc.edu,2yr / vocational / religious,
Harford Community College,harford.edu,2yr / vocational / religious,
Harrisburg Area Community College-Harrisburg,hacc.edu,2yr / vocational / religious,
Hawaii Community College,hawaii.hawaii.edu,2yr / vocational / religious,
Hawkeye Community College,hawkeyecollege.edu,2yr / vocational / religious,
Haywood Community College,haywood.edu,2yr / vocational / religious,
Hazard Community and Technical College,hazard.kctcs.edu,2yr / vocational / religious,
Heartland Community College,heartland.edu,2yr / vocational / religious,
Henderson Community College,hencc.kctcs.edu,2yr / vocational / religious,
Hennepin Technical College,hennepintech.edu,2yr / vocational / religious,
Herkimer County Community College,herkimer.edu,2yr / vocational / religious,
Hibbing Community College,hibbing.edu,2yr / vocational / religious,
Highland Community College,highland.edu,2yr / vocational / religious,
Highline Community College,highline.edu,2yr / vocational / religious,
Hillsborough Community College,hccfl.edu,2yr / vocational / religious,
Hinds Community College,hindscc.edu,2yr / vocational / religious,
Holmes Community College,holmescc.edu,2yr / vocational / religious,
Holyoke Community College,hcc.edu,2yr / vocational / religious,
Honolulu Community College,honolulu.hawaii.edu,2yr / vocational / religious,
Hood Theological,hoodseminary.edu,2yr / vocational / religious,
Hopkinsville Community College,hopkinsville.kctcs.edu,2yr / vocational / religious,
Horry-Georgetown Technical College,hgtc.edu,2yr / vocational / religious,
Housatonic Community College,hcc.commnet.edu,2yr / vocational / religious,
Houston Community College,hccs.edu,2yr / vocational / religious,
Howard Community College,howardcc.edu,2yr / vocational / religious,
Hudson County Community College,hccc.edu,2yr / vocational / religious,
Hudson Valley Community College,hvcc.edu,2yr / vocational / religious,
Huntington Junior College,huntingtonjuniorcollege.edu,2yr / vocational / religious,
Hutchinson Community College,hutchcc.edu,2yr / vocational / religious,
ITT Technical Institute,itt-tech.info,2yr / vocational / religious,
Illinois Eastern Community Colleges,iecc.edu,2yr / vocational / religious,
Illinois Valley Community College,ivcc.edu,2yr / vocational / religious,
Independence Community College,indycc.edu,2yr / vocational / religious,
Indian Hills Community College,indianhills.edu,2yr / vocational / religious,
Interdenominational Theological Center,itc.edu,2yr / vocational / religious,
Inver Hills Community College,inverhills.edu,2yr / vocational / religious,
Iowa Central Community College,iowacentral.edu,2yr / vocational / religious,
Iowa Lakes Community College,iowalakes.edu,2yr / vocational / religious,
Iowa Western Community College,iwcc.edu,2yr / vocational / religious,
Island Drafting & Technical Institute,idti.edu,2yr / vocational / religious,
Isothermal Community College,isothermal.edu,2yr / vocational / religious,
Itasca Community College,itascacc.edu,2yr / vocational / religious,
Itawamba Community College,iccms.edu,2yr / vocational / religious,
Ivy Tech Community College,ivytech.edu,2yr / vocational / religious,
J F Drake State Community and Technical College,drakestate.edu,2yr / vocational / religious,
J Sargeant Reynolds Community College,reynolds.edu,2yr / vocational / religious,
Jackson State Community College,jscc.edu,2yr / vocational / religious,
James H Faulkner State Community College,faulknerstate.edu,2yr / vocational / religious,
James Sprunt Community College,jamessprunt.edu,2yr / vocational / religious,
Jamestown Community College,sunyjcc.edu,2yr / vocational / religious,
Jefferson Community College,sunyjefferson.edu,2yr / vocational / religious,
Jefferson Community and Technical College,jefferson.kctcs.edu,2yr / vocational / religious,
Jefferson Davis Community College,jdcc.edu,2yr / vocational / religious,
Jefferson State Community College,jeffstateonline.com,2yr / vocational / religious,
John Tyler Community College,jtcc.edu,2yr / vocational / religious,
John Wood Community College,jwcc.edu,2yr / vocational / religious,
Johnson Bible College,jbc.edu,2yr / vocational / religious,
Johnson C Smith Theological Seminary *,smithseminary.org,2yr / vocational / religious,
Johnson County Community College,jccc.edu,2yr / vocational / religious,
Johnston Community College,johnstoncc.edu,2yr / vocational / religious,
Joliet Junior College,jjc.edu,2yr / vocational / religious,
Jones County Junior College,jcjc.edu,2yr / vocational / religious,
Kalamazoo Valley Community College,kvcc.edu,2yr / vocational / religious,
Kanawha Valley Community and Technical College,kvctc.edu,2yr / vocational / religious,
Kankakee Community College,kcc.edu,2yr / vocational / religious,
Kansas City Kansas Community College,kckcc.edu,2yr / vocational / religious,
Kapiolani Community College,kapiolani.hawaii.edu,2yr / vocational / religious,
Kauai Community College,kauai.hawaii.edu,2yr / vocational / religious,
Kellogg Community College,kellogg.edu,2yr / vocational / religious,
Kennebec Valley Community College,kvcc.me.edu,2yr / vocational / religious,
Kentucky Community & Technical College System,kctcs.edu,2yr / vocational / religious,
Keweenaw Bay Ojibwa Community College,kbocc.org,2yr / vocational / religious,
Kilian Community College,kilian.edu,2yr / vocational / religious,
Kirkwood Community College,kirkwood.edu,2yr / vocational / religious,
Kirtland Community College,kirtland.edu,2yr / vocational / religious,
Klamath Community College,klamathcc.edu,2yr / vocational / religious,
L E Fletcher Technical Community College,fletcher.edu,2yr / vocational / religious,
Labette Community College,labette.edu,2yr / vocational / religious,
Lac Courte Oreilles Ojibwa Community College,lco.edu,2yr / vocational / religious,
Lake Area Technical Institute,lakeareatech.edu,2yr / vocational / religious,
Lake Tahoe Community College,ltcc.edu,2yr / vocational / religious,
Lakeland Community College,lakelandcc.edu,2yr / vocational / religious,
Lakes Region Community College,lrcc.edu,2yr / vocational / religious,
Lakeshore Technical College,gotoltc.edu,2yr / vocational / religious,
Lamar Community College,lamarcc.edu,2yr / vocational / religious,
Lane Community College,lanecc.edu,2yr / vocational / religious,
Lanier Technical College,laniertech.edu,2yr / vocational / religious,
Lansing Community College,lcc.edu,2yr / vocational / religious,
Laramie County Community College,lccc.wy.edu,2yr / vocational / religious,
Laredo Community College,laredo.edu,2yr / vocational / religious,
Lassen Community College,lassencollege.edu,2yr / vocational / religious,
Lawson State Community College,lawsonstate.edu,2yr / vocational / religious,
Leeward Community College,leeward.hawaii.edu,2yr / vocational / religious,
Lehigh Carbon Community College,lccc.edu,2yr / vocational / religious,
Lenoir Community College,lenoircc.edu,2yr / vocational / religious,
Lewis and Clark Community College,lc.edu,2yr / vocational / religious,
Lincoln Land Community College,llcc.edu,2yr / vocational / religious,
Linn State Technical College,linnstate.edu,2yr / vocational / religious,
Linn-Benton Community College,linnbenton.edu,2yr / vocational / religious,
Lorain County Community College,lorainccc.edu,2yr / vocational / religious,
Lord Fairfax Community College,lfcc.edu,2yr / vocational / religious,
Los Angeles Community College District,laccd.edu,2yr / vocational / religious,
Los Angeles County College of Nursing and Allied Health,lacounty.org,2yr / vocational / religious,
Los Angeles Trade Technical College,lattc.edu,2yr / vocational / religious,
Los Rios Community College District,losrios.edu,2yr / vocational / religious,
Louisiana Delta Community College,ladelta.edu,2yr / vocational / religious,
Luna Community College,luna.edu,2yr / vocational / religious,
